,Name,Energy(kcal/mol),Charge,Multiplicity,T1_diagnostic
0,Ac(HCOO)3,-16469059.838,0,1,
1,Ac(NO3)3,-16640537.682,0,1,
2,Ac(OH)3,-16255821.548,0,1,
3,Ac,-16112989.124,0,2,
4,AcCl3,-16981307.130,0,1,
5,AcF3,-16301133.162,0,1,
6,Ac_3+,-16112206.233,3,1,
7,Am(OH)3,-19192094.303,0,7,
8,Am,-19049343.473,0,8,
9,AmF3,-19237433.521,0,7,
10,Am_3+,-19048427.346,3,7,
11,Bk(OH)3,-20248759.148,0,7,
12,Bk,-20105984.661,0,6,
13,Bk_3+,-20105099.927,3,7,
14,C2O4_2-,-236448.615,-2,1,
15,CH3COOH,-143625.860,0,1,
16,CH3COO_-,-143272.185,-1,1,
17,CO3_2-,-165347.746,-2,1,
18,Ce,,0,3,
19,Ce_3+,,3,2,
20,Ce_HCOO_3,-9420.086332591,0,2,0.02509983
21,Ce_NO3_3,,0,2,
22,Cf,-20649782.451,0,5,
23,Cf_3+,-20648854.285,3,6,
24,Cl2,-578704.943,0,1,
25,Cl_-,-289403.860,-1,1,
26,Cm(OH)3,-19715409.707,0,8,
27,Cm,-19572525.424,0,9,
28,CmF3,-19760737.863,0,8,
29,Cm_3+,-19571734.065,3,8,
30,Dy,,0,5,
31,Dy_3+,,3,6,
32,Dy_F_3,-12444.12880856,0,6,0.016315921
33,Er,,0,3,
34,Er_3+,,3,4,
35,Er_F_3,-13371.513169912,0,4,0.016045266
36,Eu,,0,8,
37,Eu_3+,,3,7,
38,Eu_F_3,-11133.22930866,0,7,0.015722605
39,Eu_OH_3,-11061.025855063,0,7,0.016914889
40,F2,-125176.064,0,1,
41,F_-,-62643.269,-1,1,
42,Gd,,0,9,
43,Gd_3+,,3,8,
44,Gd_F,,0,10,
45,Gd_F_2,-11460.002981749,0,9,0.020114187
46,Gd_F_3,-11559.937285654,0,8,0.015325376
47,Gd_OH_3,-11487.731286169,0,8,0.014666195
48,H2C2O4,-237232.118,0,1,
49,H2CO3,-166182.912,0,1,
50,H2O,-47928.566,0,1,
51,H2SO4,-439718.840,0,1,
52,HCOOH,-118989.320,0,1,
53,HCOO_-,-118639.267,-1,1,
54,HCl,-289741.001,0,1,
55,HF,-63018.543,0,1,
56,HNO3,-176149.977,0,1,
57,Ho,,0,4,
58,Ho_3+,,3,5,
59,Ho_F,,0,7,
60,Ho_F_2,-12802.441020999,0,6,0.019356644
61,Ho_F_3,,0,5,
62,Ho_HCOO_3,,0,5,
63,La,,0,2,
64,La_3+,,3,1,
65,La_F_3,-8785.715662984,0,1,0.013269176
66,La_HCOO_3,-9053.276329575,0,1,0.016475745
67,La_NO3_3,,0,1,
68,La_OH_3,-8713.510624227,0,1,0.012660918
69,Lu,,0,2,
70,Lu_3+,,3,1,
71,Lu_CH3COO_3,,0,1,
72,Lu_Cl_3,,0,1,
73,Lu_F_3,-14845.91008227,0,1,0.01600175
74,Lu_HCOO_3,-15113.468280122,0,1,0.017613074
75,Lu_NO3_3,,0,1,
76,NO3_-,-175820.518,-1,1,
77,Nd,,0,5,
78,Nd_3+,,3,4,
79,Nd_CH3COO_3,,0,4,
80,Nd_F_3,-9914.870277498,0,4,0.01878786
81,Nd_HCOO_3,,0,4,
82,Np(OH)3,-18175265.715,0,5,
83,Np(OH)4,-18222930.181,0,4,
84,Np(SO4)2,-18910615.611,0,4,
85,Np,-18032485.088,0,6,
86,NpF4,-18283335.072,0,4,
87,NpF6,-18408629.526,0,2,
88,NpO2F,-18189679.935,0,3,
89,NpO2HCOO,-18245659.755,0,3,
90,NpO2OH,-18174584.995,0,3,
91,NpO2_+,-18126833.616,1,3,
92,Np_3+,-18031632.600,3,5,
93,Np_4+,-18030880.116,4,4,
94,Np_6+,-18028308.012,6,2,
95,OH_-,-47531.431,-1,1,
96,Pa,-17054180.019,0,4,
97,PaF4,-17305077.441,0,2,
98,PaOCl3,-17969791.532,0,1,
99,PaOF3,-17289628.144,0,1,
100,PaO_3+,-17100564.907,3,1,
101,Pa_4+,-17052662.879,4,2,
102,Pm,,0,6,
103,Pm_3+,,3,5,
104,Pr,,0,4,
105,Pr_3+,,3,3,
106,Pr_CH3COO_3,,0,3,
107,Pr_Cl_3,-10612.724260846,0,3,0.012114278
108,Pr_F_3,-9528.806426061,0,3,0.016383934
109,Pr_HCOO_3,,0,3,
110,Pr_NO3_3,,0,3,
111,Pu(OH)3,-18678800.026,0,6,
112,Pu(OH)4,-18726408.748,0,5,
113,Pu,-18535915.100,0,7,
114,PuCl6,-20272379.561,0,1,
115,PuF3,-18724121.726,0,6,
116,PuF4,-18786812.187,0,5,
117,PuF6,-18912047.489,0,1,
118,PuO2(OH)2,-18725608.558,0,3,
119,PuO2C2O4,-18866966.808,0,3,
120,PuO2CO3,-18795880.208,0,3,
121,PuO2Cl2,-19209239.379,0,3,
122,PuO2SO4,-19069394.028,0,3,
123,PuO2_2+,-18629950.471,2,3,
124,Pu_3+,-18535122.710,3,6,
125,Pu_4+,-18534341.813,4,5,
126,Pu_6+,-18531667.235,6,3,
127,SO4_2-,-438947.610,-2,1,
128,Sm,,0,7,
129,Sm_3+,,3,6,
130,Sm_F,,0,8,
